id,species,pop,origin,contrast,root.depth,emg.height,est.height,ratio,flowering,tot.germ,avg
1,vm,10,as,15,12.3,5.5,15.5,0.77,35,1,13
2,vm,13,s,13,14.8,6.7,12.2,0.74,37,0.428571429,12
3,vm,16,as,13,15,5.3,11.4,0.61,19,0.857142857,12.33333333
4,vm,15,s,15,13.3,4.9,9.9,0.48,30,1,12.57142857
5,vm,S2,s,S2,13.5,4.7,11.9,0.48,44,1,14.42857143
6,vm,29,ad,3,15.6,7.1,18.6,0.81,26,0.714285714,14.4
7,vm,9,ad,25,12.4,6.2,14.1,0.59,44,1,14.14285714
8,vm,26,ad,6,12.4,4.8,12.6,0.95,44,1,15.28571429
9,vm,2,ad,15,7.8,5.8,12.5,0.84,46,0.714285714,13.4
9,vm,2,as,18,7.8,5.8,12.5,0.84,46,0.714285714,13.4
10,vm,23,ad,18,12.3,5.4,10.5,0.53,46,1,15.71428571
11,bh,18,s,18,5.8,8,22.3,,46,1,13.5
12,vm,5,as,11,13,5.8,15.5,1,43,0.857142857,14.16666667
13,bh,3,s,3,16.3,9.2,21.5,,38,1,13
14,vm,15,s,15,16.2,6.2,12,1.21,27,0.857142857,12.83333333
15,vm,9,ad,25,11.4,6,14.5,0.55,43,1,14.14285714
16,vm,S33,ad,S2,14.5,5.2,12.4,0.5,39,0.571428571,14.75
17,vm,2,ad,15,15,5,11.6,0.52,25,0.857142857,13
17,vm,2,as,18,15,5,11.6,0.52,25,0.857142857,13
18,vm,19,as,6,17.1,5.2,10.1,0.38,43,1,13.28571429
19,vm,17,as,25,14.3,5.1,9.3,0.53,30,1,17.57142857
20,vm,S2,s,S2,17.4,6,15.9,0.83,37,0.428571429,14
21,bh,S2,s,S2,13.9,9.4,25.3,,27,1,14
22,bh,18,s,18,14.6,8.1,23.7,,46,1,14
23,vm,4,ad,13,15.7,5.4,12.4,0.88,46,0.571428571,14.5
24,bh,6,s,6,14,8.5,22.1,,53,1,13.5
25,vm,S33,ad,S2,15,4.8,10.9,0.68,47,0.714285714,14.8
26,vm,11,s,11,11.5,6,15.1,0.83,35,0.857142857,12.5
27,bh,11,s,11,15.8,8.3,23.4,,60,1,15
28,vm,S31,as,S2,12.7,4.4,11.6,0.6,12,1,14
29,vm,3,s,3,15.3,4,8.4,0.7,48,0.571428571,15.5
30,vm,4,ad,13,12,4.3,10.3,0.39,59,0.857142857,16.33333333
31,vm,17,as,25,14,4.4,9.1,0.79,43,1,15.71428571
32,bh,15,s,15,13.3,9,22.7,,57,1,13
33,bh,25,s,25,24.5,9.3,25.6,,48,1,14
34,vm,17,as,25,14.8,5.2,9.9,0.84,42,1,13
35,vm,16,as,13,18.5,5.8,11.2,0.48,,0.571428571,13
36,bh,25,s,25,15.5,9.9,23.4,,41,1,12.5
37,vm,11,s,11,14.2,6.2,14,0.52,45,1,12.14285714
38,vm,27,ad,11,15.8,5.3,11.5,0.66,46,1,15.57142857
39,vm,9,ad,25,16,4.7,13.5,0.44,42,0.714285714,14.2
40,vm,27,ad,11,15.6,6.6,16,0.38,16,0.857142857,17.16666667
41,vm,S2,s,S2,12.7,4,6.8,0.5,46,0.571428571,14.75
42,bh,15,s,15,18.5,9.8,20,,,1,14
43,vm,S33,ad,S2,16.5,6.2,12.5,0.53,31,1,16
44,vm,20,as,3,16,4.6,12.3,0.45,44,1,13
45,vm,13,s,13,17.7,5.5,10,0.5,36,0.714285714,12.4
46,vm,15,s,15,11.7,4,10.6,0.61,52,0.714285714,13.8
47,vm,26,ad,6,14.6,5.5,14.4,0.38,51,1,15.14285714
48,vm,4,ad,13,15.2,5,10.6,0.52,44,0.142857143,15
49,vm,27,ad,11,20.6,6.8,15.1,0.48,24,0.857142857,14.5
50,bh,15,s,15,16.4,6.8,18.4,,,1,14.5
51,vm,6,s,6,12.8,3.9,11.4,0.34,33,0.857142857,12.5
52,vm,9,ad,25,16,5.6,15.4,0.44,42,0.857142857,14
53,vm,S2,s,S2,17.3,4.5,15.6,0.4,39,0.857142857,14.16666667
54,bh,3,s,3,10.8,6.6,19.8,,59,1,14
55,bh,15,s,15,17.8,9,19.6,,,1,13.5
56,vm,10,as,15,15.2,4.2,10.1,0.72,39,1,12.85714286
57,vm,27,ad,11,19.5,6.6,14.1,0.53,27,1,16.85714286
58,vm,10,as,15,14.9,5.3,9.8,0.71,38,1,14.57142857
59,bh,18,s,18,11.8,7.8,22.5,,48,1,13
60,bh,11,s,11,15.3,8.1,19.2,,,1,15.5
61,bh,S2,s,S2,20.2,10.3,26.1,,32,1,13.5
62,vm,11,s,11,22.7,6.7,14.6,0.61,42,1,12.71428571
63,vm,2,ad,15,22.7,7,13.4,0.5,33,0.857142857,13.5
63,vm,2,as,18,22.7,7,13.4,0.5,33,0.857142857,13.5
64,vm,6,s,6,16.1,4.5,13.5,0.6,67,1,13.14285714
65,bh,6,s,6,15.2,7.9,20.2,,60,1,13.5
66,bh,18,s,18,16.5,8.9,21.6,,46,1,14
67,bh,6,s,6,20.2,9.9,22.3,,57,1,14
68,vm,19,as,6,15.2,5.4,12,0.63,48,1,12.71428571
69,bh,18,s,18,16.8,8.3,26.3,,53,1,13.5
70,vm,13,s,13,19.3,6.1,12.6,0.53,29,0.714285714,12.4
71,vm,S31,as,S2,17.7,5.6,11.6,0.84,17,1,13.71428571
72,vm,S2,s,S2,14.4,4.4,5,0.54,58,0.714285714,14.2
73,vm,3,s,3,19.1,5,8.4,0.57,48,0.857142857,13.66666667
74,vm,10,as,15,21.2,6,16.2,1,51,0.428571429,17.2
75,vm,29,ad,3,22,5.6,13.6,0.7,35,1,13.42857143
76,vm,19,as,6,14.2,5.6,9.7,0.49,53,0.857142857,13.83333333
77,vm,19,as,6,13.9,5.3,10.5,0.53,39,0.857142857,12.66666667
78,vm,29,ad,3,14.3,5.4,11.4,0.61,31,0.428571429,16.33333333
79,vm,4,ad,13,17.6,5.1,11.5,0.52,47,0.714285714,14
80,vm,26,ad,6,11.4,4.2,11.9,0.74,30,0.857142857,15.83333333
81,vm,25,s,25,16.7,5.8,15.5,0.56,54,1,14.14285714
82,vm,18,s,18,7.1,4.3,7,0.76,29,0.428571429,15.33333333
83,vm,11,s,11,11.9,6,11.2,0.7,44,0.714285714,14.4
84,vm,11,s,11,17.1,5.3,15.2,0.46,40,1,12.71428571
85,vm,16,as,13,19.6,5.8,14.1,0.54,38,0.714285714,13
86,bh,3,s,3,20.4,10.3,24.9,,53,1,13
87,vm,20,as,3,11.7,4.9,11.7,1.41,59,1,13.71428571
88,vm,15,s,15,14.4,4,11.6,0.57,44,0.714285714,14.4
89,vm,20,as,3,16.6,3.7,11.3,0.58,34,0.857142857,15.16666667
90,vm,23,ad,18,13.1,4.1,11.7,0.43,40,0.714285714,13.6
91,vm,27,ad,11,14.8,4.5,14.1,1,28,1,15.28571429
92,vm,19,as,6,14.7,4.5,9.6,0.5,45,1,13.14285714
93,vm,27,ad,11,15.5,4.9,12.6,0.93,27,0.857142857,16.66666667
94,vm,25,s,25,22.9,6.6,16.5,0.89,43,0.857142857,14
95,bh,6,s,6,20.4,8.2,22.4,,31,1,14
96,vm,29,ad,3,20.3,6.1,13.7,0.88,26,1,14.57142857
97,vm,6,s,6,17.8,3.6,10.9,0.48,29,0.857142857,15.83333333
98,vm,6,s,6,17.4,5.6,10.5,0.93,30,0.857142857,13
99,vm,6,s,6,22.1,5.5,11.6,0.75,57,0.714285714,13.4
100,vm,23,ad,18,15.7,4.5,8,0.6,46,0.857142857,14.83333333
101,vm,18,s,18,9.3,3.4,9,0.74,59,0.571428571,14
102,vm,26,ad,6,23.2,8.1,17.2,0.86,16,1,14.85714286
103,bh,6,s,6,20.5,9,23.8,,70,1,15
104,bh,18,s,18,14.9,6.3,18.9,,60,1,14.5
105,vm,16,as,13,19.7,6.4,15.2,0.52,48,1,13
106,vm,15,s,15,14.4,3.4,9.4,0.5,45,0.857142857,13.33333333
107,vm,6,s,6,20.7,4.9,12,0.52,41,0.857142857,14.16666667
108,vm,18,s,18,15.8,4.1,9,0.72,19,0.714285714,14
109,vm,23,ad,18,11.8,3.8,11.8,0.71,32,1,13.71428571
110,vm,16,as,13,17.2,3.7,10.7,0.43,16,1,13.14285714
111,vm,S31,as,S2,13.8,3.4,7,0.3,26,1,13.85714286
112,vm,17,as,25,14.8,3,5.8,0.55,51,1,13.14285714
113,vm,15,s,15,13.1,4.4,11.1,0.7,27,1,13.71428571
114,bh,6,s,6,19.3,10.6,24.7,,51,0.5,13
115,vm,S31,as,S2,11.5,3.6,8,0.41,18,0.857142857,15
116,bh,S2,s,S2,17.9,9.1,23.9,,33,1,13
117,vm,23,ad,18,16.8,5,14.1,0.44,25,1,13.14285714
118,vm,23,ad,18,14.5,5.1,10.6,0.69,30,1,14.14285714
119,vm,3,s,3,14.8,5,11.6,0.69,70,1,13.57142857
120,bh,3,s,3,16,8.8,20.4,,,1,13
121,vm,26,ad,6,17.3,6.8,13.4,1.14,25,1,16.57142857
122,vm,11,s,11,21.1,5.8,12.8,0.39,38,1,12.71428571
123,vm,13,s,13,13.9,4,10.6,0.76,39,1,14.28571429
124,vm,S2,s,S2,16.2,5.2,14.1,0.43,38,0.857142857,14.16666667
125,vm,13,s,13,20,6.6,13.2,0.73,29,0.857142857,13.83333333
126,vm,18,s,18,9.9,3.8,8.1,1.33,17,0.285714286,14
127,bh,25,s,25,19.3,12,25.5,,58,1,13
128,bh,18,s,18,10.2,7,18.4,,62,1,13
129,vm,23,ad,18,16.3,4.5,11.9,0.59,29,1,14
130,vm,4,ad,13,22.9,6.2,11.5,0.53,39,0.714285714,13.6
131,vm,11,s,11,16.5,5.3,14.6,0.65,42,1,13.14285714
132,bh,11,s,11,19.2,9,21.2,,,1,14.5
133,vm,18,s,18,10.4,4.1,8.2,0.93,36,0.285714286,13.5
134,vm,16,as,13,12,5.1,9.9,0.67,11,1,12.85714286
135,vm,13,s,13,20.6,6.5,11.1,0.7,36,0.714285714,15.2
136,vm,S2,s,S2,17.8,6.8,14,0.88,43,0.571428571,15
137,vm,20,as,3,17,5.2,12.5,0.82,60,0.857142857,13.66666667
138,vm,25,s,25,19,6.3,18.7,0.82,55,1,15
139,vm,2,ad,15,11.4,3.6,9.9,0.65,62,1,15
139,vm,2,as,18,11.4,3.6,9.9,0.65,62,1,15
140,vm,3,s,3,20.6,4.3,9,0.45,42,1,13.85714286
141,bh,11,s,11,17.6,9.3,20.6,,36,1,13.5
142,vm,18,s,18,12.8,3.4,10.7,0.54,,0.428571429,14.66666667
143,bh,11,s,11,14.8,9.1,22.5,,52,1,14
144,bh,15,s,15,18.2,7.4,18.9,,22,1,14
145,vm,29,ad,3,21.5,8.5,15.2,0.56,21,0.714285714,14
146,vm,11,s,11,16.2,4.2,12.5,0.56,42,0.857142857,14
147,vm,27,ad,11,19,5,14.4,0.62,23,0.857142857,15.33333333
148,bh,15,s,15,14.9,7.5,18,,67,1,18
149,vm,2,ad,15,17.3,6,12.6,0.57,52,0.857142857,14.33333333
149,vm,2,as,18,17.3,6,12.6,0.57,52,0.857142857,14.33333333
150,vm,17,as,25,16.6,4.9,11,0.36,57,1,13.42857143
151,vm,S31,as,S2,14.5,4.9,9.6,0.55,39,1,14.28571429
152,vm,15,s,15,21.4,6.9,11.7,0.67,29,1,13.85714286
153,vm,4,ad,13,11.8,4,12.4,0.4,37,0.571428571,15
154,vm,17,as,25,17.9,5.2,10,0.42,67,1,14.14285714
155,vm,2,ad,15,13.8,3.1,10.1,0.41,30,1,14
155,vm,2,as,18,13.8,3.1,10.1,0.41,30,1,14
156,vm,25,s,25,11.3,4.1,14.6,0.68,62,0.571428571,14.25
157,vm,10,as,15,11.3,5,10.8,0.48,58,1,13.71428571
158,bh,6,s,6,19.1,7.7,23,,35,0.5,14
159,bh,3,s,3,19.1,10,25,,46,1,13.5
160,bh,13,s,13,15.6,8.1,23.1,,,1,18
161,bh,S2,s,S2,18.3,10.8,29.3,,45,1,14
162,vm,17,as,25,15.6,3.9,8.2,0.39,41,1,13.42857143
163,vm,18,s,18,10.8,4,10.2,0.58,52,0.428571429,14
164,vm,3,s,3,18.8,4.8,10.4,0.67,44,0.857142857,12.66666667
165,vm,2,ad,15,15.7,5.2,11.7,0.5,17,1,14.42857143
165,vm,2,as,18,15.7,5.2,11.7,0.5,17,1,14.42857143
166,vm,S31,as,S2,13.5,4.4,10.2,0.57,8,1,13.85714286
167,vm,26,ad,6,21.7,6.7,16.4,0.85,16,1,14.71428571
168,bh,13,s,13,17.6,9.3,20.9,,,1,13.5
169,bh,15,s,15,17.5,8,18.5,,,1,16.5
170,bh,13,s,13,11.8,6.6,20.3,,,1,16
171,bh,15,s,15,11.8,6.1,18.5,,,1,15
172,vm,9,ad,25,15.6,6,14.6,0.62,46,0.857142857,13.66666667
173,vm,4,ad,13,13.2,4,8.9,0.67,48,0.857142857,16.16666667
174,bh,3,s,3,18.2,10.1,24,,60,1,13
175,vm,13,s,13,16.2,5.2,12.9,0.74,45,0.714285714,12.4
176,vm,27,ad,11,22.2,6.6,13,1.24,48,1,15.57142857
177,vm,9,ad,25,10.8,4.6,11,0.63,49,1,13.71428571
178,vm,5,as,11,13.4,4.8,11.2,0.57,57,0.571428571,17.75
179,vm,S31,as,S2,9.8,3.9,9.1,0.28,29,1,14.57142857
180,vm,13,s,13,22.3,5,12.4,0.43,71,0.714285714,13.6
181,bh,11,s,11,16.4,9.2,20.7,,69,1,14
182,vm,29,ad,3,20.4,7.4,15.9,0.42,32,1,15.85714286
183,bh,13,s,13,15.4,8.8,21.4,,72,1,14.5
184,vm,29,ad,3,12.8,5,12.8,0.52,38,0.714285714,15.2
185,vm,2,ad,15,14,5.7,10.2,0.43,53,1,13.57142857
185,vm,2,as,18,14,5.7,10.2,0.43,53,1,13.57142857
186,vm,18,s,18,8.1,3.1,8.8,0.67,20,0.428571429,15.33333333
187,vm,19,as,6,14.5,5.9,11.8,0.47,47,1,14
188,vm,26,ad,6,18.3,6.6,15.1,0.76,21,1,14.57142857
189,bh,15,s,15,15,9.2,20.7,,,1,13.5
190,vm,S33,ad,S2,12,5.5,14.2,0.71,33,0.714285714,15
191,vm,19,as,6,15.8,4.2,10.4,0.47,36,1,13.28571429
192,vm,S33,ad,S2,14.5,6,13.3,1.31,38,0.714285714,15.4
193,vm,20,as,3,14.6,5.1,10.5,0.63,45,0.857142857,14.16666667
194,vm,S33,ad,S2,12.8,6.3,15.4,1.46,35,1,15
195,bh,S2,s,S2,16.2,8.6,20.4,,44,1,13.5
